['815354'],['104'],['8357'],['null'],['0'],['-3'],['1647055251'],[],[]
['816075'],['105'],"['8201', '8201']","['19453', '19454']","['2', '2']","['4', '4']","['1647055214', '1647055251']",[],[]
['816587'],['107'],"['8343', '8343', '8343']","['19168', '19169', '19170']","['2', '2', '2']","['2', '2', '2']","['1647055204', '1647055231', '1647055251']",[],[]
['816855'],['108'],['8200'],['17103'],['2'],['2'],['1647055251'],[],[]
['816857'],['108'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['816859'],['108'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['816932'],['108'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['816933'],['108'],"['3476', '3476']","['19583', '19584']","['999', '999']","['999', '999']","['1647055231', '1647055251']",[1],[]
['816934'],['108'],['0'],['null'],['999'],['999'],['1647055251'],[1],[]
['816975'],['108'],['3078'],['29448'],['0'],['0'],['1647055251'],[],[]
['817695'],['109'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['817729'],['109'],['3463'],['null'],['5'],['5'],['1647055251'],[],[]
['818409'],['110'],"['3485', '3485']","['13799', '20066']","['-1', '-1']","['-1', '-1']","['1647055241', '1647055251']",[],[1]
['818439'],['110'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['818453'],['110'],['8355'],['null'],['8'],['8'],['1647055251'],[],[]
['818896'],['111'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['819312'],['112'],"['3075', '3075', '3075', '3075']","['18804', '18805', '18806', '2200']","['1', '1', '1', '1']","['1', '1', '1', '1']","['1647055204', '1647055214', '1647055241', '1647055251']",[],[]
['819595'],['113'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['819597'],['113'],"['8349', '8349', '8349']","['2106', '20135', '20136']","['1', '2', '2']","['1', '2', '2']","['1647055204', '1647055231', '1647055251']",[],[]
['819652'],['113'],['8518'],['null'],['3'],['3'],['1647055251'],[],[]
['819681'],['113'],"['8510', '8510']","['20331', '20332']","['7', '7']","['7', '7']","['1647055214', '1647055251']",[],[]
['819682'],['113'],"['8519', '8519', '8519']","['20274', '20275', '31674']","['3', '3', '3']","['3', '3', '3']","['1647055204', '1647055241', '1647055251']",[],[]
['820509'],['114'],"['8341', '8341', '8341', '8341']","['2119', '25114', '25115', '25116']","['0', '1', '1', '1']","['0', '1', '1', '1']","['1647055204', '1647055214', '1647055231', '1647055251']",[],[]
['820528'],['114'],"['8516', '8516']","['25439', '25441']","['1', '1']","['1', '1']","['1647055214', '1647055251']",[],[]
['820529'],['114'],['8353'],['29919'],['6'],['6'],['1647055251'],[],[]
['820842'],['115'],['0'],['null'],['999'],['999'],['1647055251'],[1],[]
['820848'],['115'],['3077'],['1160'],['5'],['5'],['1647055251'],[],[]
['820849'],['115'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['821097'],['117'],"['3458', '3458']","['31704', '31705']","['3', '3']","['3', '3']","['1647055214', '1647055251']",[],[]
['821124'],['117'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['821473'],['118'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['821626'],['119'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['821644'],['119'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['821847'],['120'],['3460'],['18664'],['1'],['1'],['1647055251'],[],[]
['821868'],['120'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['822000'],['123'],"['3477', '3477']","['18814', '30480']","['1', '1']","['1', '1']","['1647055214', '1647055251']",[],[]
['822381'],['125'],['3273'],['null'],['1'],['1'],['1647055251'],[],[]
['822382'],['125'],['8365'],['28'],['-2'],['-2'],['1647055251'],[],[1]
['822426'],['125'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['822434'],['125'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['822447'],['125'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['825160'],['129'],"['8381', '8381']","['1784', '28458']","['-1', '-1']","['-1', '-1']","['1647055204', '1647055252']",[],[1]
['825163'],['129'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['825178'],['129'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['825394'],['130'],"['8097', '8097']","['28598', '28599']","['8', '8']","['8', '8']","['1647055204', '1647055251']",[],[]
['825407'],['130'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['825965'],['132'],"['8380', '8380']","['32452', '32454']","['4', '4']","['4', '4']","['1647055204', '1647055251']",[],[]
['826362'],['139'],['8490'],['1709'],['0'],['0'],['1647055252'],[],[]
['826727'],['90'],['3199'],['29474'],['5'],['6'],['1647055251'],[],[]
['827068'],['93'],['8113'],['31953'],['-2'],['-1'],['1647055251'],[],[]
['827111'],['93'],"['8327', '8327']","['31407', '26807']","['4', '4']","['4', '4']","['1647055242', '1647055251']",[],[]
['827424'],['94'],['0'],['null'],['999'],['999'],['1647055251'],[1],[]
['827786'],['96'],['3208'],['27438'],['3'],['5'],['1647055251'],[],[]
['827817'],['96'],"['8209', '8209']","['29516', '27538']","['8', '7']","['8', '8']","['1647055214', '1647055251']",[],[]
['828177'],['97'],['3213'],['27345'],['1'],['2'],['1647055252'],[],[]
['828184'],['97'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['828505'],['98'],"['8214', '8214', '8214']","['26580', '31276', '26581']","['1', '0', '-1']","['3', '3', '3']","['1647055214', '1647055231', '1647055251']",[],[]
['828875'],['99'],['8105'],['31995'],['0'],['2'],['1647055251'],[],[]
['828876'],['99'],['0'],['null'],['998'],['998'],['1647055252'],[],[]
['829447'],['310'],['0'],['null'],['998'],['998'],['1647055252'],[],[]
['830032'],['12'],['0'],['null'],['998'],['998'],['1647055252'],[],[]
['830060'],['12'],['3436'],['null'],['0'],['1'],['1647055252'],[],[]
['830061'],['12'],"['3343', '3343']","['25099', '25100']","['3', '4']","['4', '4']","['1647055204', '1647055252']",[],[]
['830454'],['14'],['7451'],['null'],['0'],['0'],['1647055251'],[],[]
['830474'],['14'],"['7368', '7368']","['23064', '23065']","['-1', '-1']","['-1', '-1']","['1647055203', '1647055251']",[],[1]
['830484'],['14'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['830552'],['14'],"['7442', '7442']","['22469', '22470']","['10', '10']","['11', '10']","['1647055203', '1647055251']",[],[]
['830555'],['14'],"['7448', '7448', '7448', '7448']","['25952', '23669', '23670', '336']","['1', '1', '2', '2']","['3', '2', '2', '2']","['1647055203', '1647055213', '1647055241', '1647055251']",[],[]
['830605'],['14'],"['7439', '7439']","['22910', '22912']","['-9', '-10']","['-8', '-10']","['1647055203', '1647055251']",[],[1]
['830606'],['14'],['7366'],['332'],['3'],['0'],['1647055251'],[],[]
['831096'],['16'],"['8296', '8296', '8296']","['15778', '15790', '15797']","['0', '1', '0']","['0', '1', '1']","['1647055204', '1647055241', '1647055251']",[],[]
['831175'],['16'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['831176'],['16'],['8275'],['515'],['2'],['2'],['1647055251'],[],[]
['831565'],['17'],"['7483', '7483']","['358', '10275']","['6', '6']","['6', '6']","['1647055204', '1647055252']",[],[]
['831639'],['17'],['0'],['null'],['998'],['998'],['1647055252'],[],[]
['831640'],['17'],['7484'],['10264'],['5'],['5'],['1647055252'],[],[]
['832272'],['18'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['832273'],['18'],"['7338', '7338', '7338']","['15841', '15842', '15843']","['5', '5', '4']","['5', '5', '5']","['1647055213', '1647055241', '1647055251']",[],[]
['832274'],['18'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['832275'],['18'],"['7346', '7346']","['15510', '15515']","['-3', '-2']","['-2', '-2']","['1647055204', '1647055251']",[],[1]
['832409'],['18'],['0'],['null'],['998'],['998'],['1647055251'],[],[]
['832410'],['18'],"['7355', '7355']","['17584', '384']","['-5', '-5']","['-5', '-5']","['1647055204', '1647055251']",[],[1]
['832411'],['18'],['7420'],['16963'],['11'],['12'],['1647055251'],[],[]
['832412'],['18'],"['7422', '7422', '7422']","['16431', '16432', '16433']","['4', '4', '3']","['4', '4', '4']","['1647055204', '1647055241', '1647055251']",[],[]
['833132'],['2'],"['8068', '8068', '8068']","['2706', '2713', '2703']","['-1', '-1', '0']","['-1', '0', '0']","['1647055204', '1647055214', '1647055252']",[],[1]
['833177'],['2'],"['3332', '3332']","['2814', '8709']","['11', '11']","['11', '11']","['1647055214', '1647055251']",[],[]
['833179'],['2'],"['8271', '8271']","['42', '15403']","['3', '2']","['3', '3']","['1647055214', '1647055251']",[],[]
['833535'],['20'],"['8653', '8653']","['23337', '23338']","['-2', '-1']","['-2', '-1']","['1647055203', '1647055251']",[],[1]
['833536'],['20'],"['8507', '8507']","['23730', '25909']","['1', '1']","['1', '1']","['1647055203', '1647055251']",[],[]
['833619'],['20'],"['3368', '3368', '3368', '3368']","['23910', '22680', '414', '23912']","['1', '1', '1', '1']","['1', '1', '1', '1']","['1647055203', '1647055231', '1647055241', '1647055251']",[],[]
['833656'],['20'],['8179'],['null'],['-7'],['-7'],['1647055251'],[],[1]
['834104'],['21'],['3401'],['6115'],['23'],['999'],['1647055252'],[],[]
['834105'],['21'],"['3038', '3038']","['6115', '6058']","['-2', '-4']","['-2', '-2']","['1647055204', '1647055252']",[],[1]
