"","route","day","rec_stops","rec_earl_stops","rec_canc_stops","pct_earl_trips","pct_canc_trips","sum_earl_hours","sum_canc_hours"
"1","1","4_18",1671,554,0,0.331538001196888,0,20.3333333333333,0
"2","2","4_18",3284,1194,0,0.363580998781973,0,22.6833333333333,0
"3","3","4_18",2445,1252,9,0.512065439672802,0.00368098159509202,20.8333333333333,3.9
"4","4","4_18",2193,799,3,0.364341085271318,0.00136798905608755,33.65,1.13333333333333
"5","5","4_18",1779,845,0,0.474985947161327,0,33.2833333333333,0
"6","6","4_18",1353,317,1,0.234294161123429,0.00073909830007391,28.2,1
"7","7","4_18",3155,993,1,0.314738510301109,0.000316957210776545,45.4166666666667,0.483333333333333
"8","8","4_18",281,92,0,0.327402135231317,0,4.96666666666667,0
"9","9","4_18",1620,550,1,0.339506172839506,0.000617283950617284,36.1,0.433333333333333
"10","12","4_18",1452,695,0,0.478650137741047,0,24.75,0
"11","14","4_18",3389,926,1,0.273236943051048,0.000295072292711714,107.733333333333,0
"12","16","4_18",1741,759,5,0.435956346927053,0.00287191269385411,15.4166666666667,2.16666666666667
"13","17","4_18",2486,1202,0,0.483507642799678,0,40.45,0
"14","18","4_18",6954,2882,0,0.414437733678458,0,42.75,0
"15","19","4_18",1215,375,0,0.308641975308642,0,5.4,0
"16","20","4_18",3422,1114,0,0.325540619520748,0,81,0
"17","21","4_18",3212,887,1,0.276151930261519,0.000311332503113325,18.8666666666667,0.266666666666667
"18","22","4_18",2302,844,0,0.366637706342311,0,6.65,0
"19","23","4_18",5217,1560,3,0.299022426682001,0.000575043128234618,18.7166666666667,0.75
"20","24","4_18",1324,578,0,0.436555891238671,0,7.75,0
"21","25","4_18",1961,692,0,0.352881183069862,0,61.2666666666667,0
"22","26","4_18",2960,531,0,0.179391891891892,0,11.1333333333333,0
"23","27","4_18",2048,951,0,0.46435546875,0,32.2833333333333,0
"24","28","4_18",1229,327,1,0.266069975589911,0.00081366965012205,13.3,0.3
"25","29","4_18",1244,140,0,0.112540192926045,0,1.16666666666667,0
"26","30","4_18",737,166,0,0.225237449118046,0,11.4333333333333,0
"27","31","4_18",1915,893,0,0.466318537859008,0,13.9,0
"28","32","4_18",2373,801,0,0.337547408343869,0,12.3166666666667,0
"29","33","4_18",3146,1093,1,0.347425301970756,0.000317863954227591,34.25,0.583333333333333
"30","35","4_18",221,154,0,0.69683257918552,0,0.6,0
"31","37","4_18",2330,573,0,0.245922746781116,0,30.8666666666667,0
"32","38","4_18",1197,496,1,0.41436925647452,0.000835421888053467,26.25,0.483333333333333
"33","39","4_18",1292,179,0,0.138544891640867,0,2.85,0
"34","40","4_18",3033,1265,0,0.417078799868117,0,46.8833333333333,0
"35","42","4_18",3939,987,0,0.250571210967251,0,24.8,0
"36","43","4_18",1302,184,0,0.141321044546851,0,1.18333333333333,0
"37","44","4_18",1301,527,0,0.405073020753267,0,52.9166666666667,0
"38","45","4_18",2389,730,0,0.305567182921725,0,4.73333333333333,0
"39","46","4_18",1373,753,0,0.54843408594319,0,20.5666666666667,0
"40","47","4_18",5486,2281,8,0.415785636164783,0.001458257382428,128.9,6.06666666666667
"41","47M","4_18",43,21,0,0.488372093023256,0,0,0
"42","48","4_18",2122,870,0,0.409990574929312,0,65.6333333333333,0
"43","49","4_18",1524,414,0,0.271653543307087,0,41.15,0
"44","50","4_18",595,128,0,0.215126050420168,0,1.36666666666667,0
"45","52","4_18",2962,794,0,0.268062120189061,0,18.7666666666667,0
"46","53","4_18",1289,153,0,0.118696664080683,0,1.26666666666667,0
"47","54","4_18",1739,694,1,0.399079930994825,0.000575043128234618,19.85,0.45
"48","55","4_18",2907,721,0,0.248022015823873,0,3.48333333333333,0
"49","56","4_18",3613,1426,1,0.39468585662884,0.000276778300581234,62.5,1
"50","57","4_18",4630,2329,2,0.503023758099352,0.000431965442764579,85.7666666666667,0.7
"51","58","4_18",3913,1380,2,0.352670585228725,0.000511116790186558,11.8666666666667,0.666666666666667
"52","59","4_18",1468,364,0,0.247956403269755,0,31.35,0
"53","60","4_18",2564,1073,1,0.418486739469579,0.000390015600624025,15.15,0.5
"54","61","4_18",1971,717,2,0.363774733637747,0.00101471334348047,24.2333333333333,1
"55","62","4_18",241,71,0,0.294605809128631,0,9.5,0
"56","64","4_18",2294,833,0,0.363121185701831,0,13.6833333333333,0
"57","65","4_18",3081,960,0,0.311587147030185,0,23.3333333333333,0
"58","66","4_18",3053,1122,14,0.367507369800197,0.00458565345561743,37.8833333333333,8.16666666666667
"59","67","4_18",3195,969,0,0.303286384976526,0,17.75,0
"60","68","4_18",1045,297,0,0.284210526315789,0,40.3333333333333,0
"61","70","4_18",2669,498,0,0.18658673660547,0,3.6,0
"62","73","4_18",1275,330,0,0.258823529411765,0,17.2333333333333,0
"63","75","4_18",982,312,1,0.317718940936864,0.0010183299389002,8.86666666666667,0.4
"64","77","4_18",494,63,0,0.12753036437247,0,0.583333333333333,0
"65","78","4_18",12,0,0,0,0,0,0
"66","79","4_18",1602,452,0,0.282147315855181,0,26.2833333333333,0
"67","80","4_18",94,21,0,0.223404255319149,0,2.7,0
"68","84","4_18",2194,762,0,0.347310847766636,0,35.2666666666667,0
"69","88","4_18",1390,477,0,0.343165467625899,0,4.76666666666667,0
"70","89","4_18",1580,434,0,0.274683544303797,0,2.91666666666667,0
"71","BLVDDIR","4_18",339,110,0,0.324483775811209,0,0,0
"72",NA,NA,NA,NA,NA,NA,NA,NA,NA
"73","G","4_18",6224,3058,100,0.491323907455013,0.0160668380462725,125.866666666667,41
"74","H","4_18",1808,840,0,0.464601769911504,0,1.75,0
"75","J","4_18",1545,165,0,0.106796116504854,0,0.416666666666667,0
"76","K","4_18",3116,961,31,0.308408215661104,0.00994865211810013,13.2833333333333,5.96666666666667
"77","L","4_18",3520,799,0,0.226988636363636,0,5.86666666666667,0
"78",NA,NA,NA,NA,NA,NA,NA,NA,NA
"79","R","4_18",3921,1555,0,0.396582504463147,0,64.25,0
"80","XH","4_18",1534,718,0,0.468057366362451,0,64.6166666666667,0
"81","10","4_18",1466,478,13,0.326057298772169,0.00886766712141883,23.3166666666667,3.96666666666667
"82","15","4_18",3574,1158,0,0.324006715165081,0,109.383333333333,0
"83","204","4_18",232,28,0,0.120689655172414,0,0,0
"84","310","4_18",224,57,0,0.254464285714286,0,13.9333333333333,0
"85","311","4_18",226,70,0,0.309734513274336,0,4.58333333333333,0
"86",NA,NA,NA,NA,NA,NA,NA,NA,NA
