"","rec_stops","rec_earl_stops","rec_canc_stops","pct_earl_trips","pct_canc_trips","sum_earl_hours","sum_canc_hours"
"1",7996,2698,0,0.337418709354677,0,41.7333333333333,0
"2",20853,6995,18,0.335443341485638,0.000863185153215365,82.4333333333333,4.5
"3",21395,8448,10,0.394858611825193,0.000467398924982473,58.4666666666667,4.33333333333333
"4",21783,7353,8,0.3375568103567,0.000367258871597117,198.9,2.6
"5",14648,4010,0,0.273757509557619,0,39.05,0
"6",9090,2701,21,0.297139713971397,0.00231023102310231,54.3333333333333,21
"7",24987,7986,23,0.319606195221515,0.000920478648897427,129.566666666667,10.8166666666667
"8",1436,324,0,0.225626740947075,0,21.55,0
"9",9743,3231,1,0.331622703479421,0.000102637791234733,83.6,0.433333333333333
"12",10458,3698,14,0.35360489577357,0.00133868808567604,49.7333333333333,4.66666666666667
"14",23510,6291,15,0.26758826031476,0.000638026371756699,358.183333333333,13.6
"16",16795,5850,22,0.348317951771361,0.00130991366478118,169.216666666667,8.95
"17",15946,6251,13,0.392010535557507,0.000815251473723818,172.016666666667,5.5
"18",44874,16484,2,0.367339662165174,4.45692383117172e-05,220.7,0.333333333333333
"19",5907,1391,0,0.2354833248688,0,9.46666666666667,0
"20",24254,8913,28,0.367485775542179,0.00115444875072153,373.266666666667,27.5333333333333
"21",25342,8335,15,0.328900639254992,0.000591902770104964,86.8166666666667,3.73333333333333
"22",17436,5837,0,0.334767148428539,0,44.6666666666667,0
"23",45103,17476,33,0.387468682792719,0.000731658647983504,223.616666666667,8.83333333333333
"24",10764,4085,10,0.379505759940543,0.000929022668153103,21.3,2.5
"25",19207,6272,0,0.326547612849482,0,156.016666666667,0
"26",23276,5010,2,0.215243168929369,8.59254167382712e-05,91.8333333333333,0.983333333333333
"27",13499,4807,1,0.356100451885325,7.40795614489962e-05,93.85,0
"28",11327,3255,6,0.28736646949766,0.000529707777875872,59.4,2.1
"29",10677,3318,4,0.310761449845462,0.00037463707033811,20.45,0.933333333333333
"30",6100,1723,0,0.282459016393443,0,20.9666666666667,0
"31",14827,5594,7,0.377284683347946,0.000472111688136508,46.0666666666667,1.5
"32",18277,4807,8,0.263008152322591,0.000437708595502544,45,1.5
"33",23820,7709,25,0.323635600335852,0.0010495382031906,74.2,12.3166666666667
"35",1751,772,1,0.440890919474586,0.000571102227298686,0.6,0
"37",15355,4820,21,0.313904265711495,0.0013676326929339,156.383333333333,24.4
"38",12085,4753,14,0.393297476210178,0.00115846090194456,134.633333333333,5.28333333333333
"39",11275,1727,0,0.153170731707317,0,9.86666666666667,0
"40",22027,7848,15,0.356290007717801,0.000680982430653289,146.516666666667,5.26666666666667
"42",29476,7347,0,0.249253630071923,0,107.25,0
"43",9897,1587,0,0.160351621703547,0,23.0666666666667,0
"44",11013,3821,9,0.346953600290566,0.000817216017433942,155.066666666667,4.15
"45",16652,4787,12,0.287472976219073,0.000720634158059092,12.8,1.8
"46",9867,3297,0,0.334144116752812,0,45.35,0
"47",46247,13574,19,0.293510930438731,0.000410837459727117,423,14.3666666666667
"47M",2791,586,0,0.20996058760301,0,4.4,0
"48",21550,8526,4,0.395638051044084,0.000185614849187935,230.133333333333,2.03333333333333
"49",13583,4610,2,0.339394831775013,0.000147242877125819,128.466666666667,0
"50",8744,2736,3,0.312900274473925,0.000343092406221409,4.5,1.75
"52",22143,7492,22,0.338346204218037,0.000993541977148535,94.5666666666667,33.5
"53",10503,1725,0,0.164238788917452,0,7.96666666666667,0
"54",14031,6044,34,0.430760458983679,0.00242320575867721,146.65,13.85
"55",23130,5516,7,0.238478166882836,0.000302637267617812,31.7833333333333,2.36666666666667
"56",26120,10433,13,0.399425727411945,0.000497702909647779,161.083333333333,10.3666666666667
"57",36387,12459,12,0.342402506389645,0.000329788111138593,211.083333333333,4
"58",32733,11752,6,0.359026059328506,0.000183301255613601,117.016666666667,2
